card_layout,name,image,attribute_level,flavor_text,distinctive_features,position,might,endurance,parry,armour,weapons,fell_abilities,resolve,hate
./images/template/card_layout_front.png,Hobgoblins,./images/advesaries/hobgoblins.png,6,"Hobgoblins are an especially malevolent race of Orcs bred in the North in ages past. They are tall and gaunt, with long limbs and flat, almost noseless faces. Only a few members of that fell race survive today, in dark caverns beneath the Grey Mountains and under the Mountains of Mirkwood. Like the smaller Goblins of the mountains, they hate the light of the sun and rarely venture far from their lairs, but are exceedingly powerful at night or when prowling in darkness","Cruel, Large",front,,,,,,,,
./images/template/card_layout_front.png,Forest Goblin,./images/advesaries/forest_goblin.png,3,"The Orcs of Mirkwood are wiry, pale creatures, mostly inhabiting the caves under the Mountains of Mirkwood and haunting the ruins of Dol Guldur. Their long limbs and bony hands are surprisingly powerful, a characteristic that many enemies discovered too late.","Cunning, Subtle",front,,,,,,,,
./images/template/card_layout_front.png,Marsh Hags,./images/advesaries/marsh_hags.png,4,"These solitary monsters appear to be large and twisted Water-goblins, with long arms and iron-hard claws. They are called hags as their heads seem covered by thick tresses of green hair, giving them the appearance of horrible, wicked crones. Marsh-hags hide in watery chambers beneath deep stagnant pools, waiting for an unfortunate traveller to stumble upon their hiding place.","Slimy, Horrible",front,,,,,,,,
./images/template/card_layout_front.png,The Pale Ones,./images/advesaries/the_pale_ones.png,4,"Long ago, a small tribe of Goblins passed beneath the shadow of the mountains and slipped past the Ents into the gloom of Nan Mordeleb. As they supped on sickly toadstools, they changed, down in the dark. They lost much of their fears and gained a feral cunning vicious even by the standards of their own cruel race.","Small, Feral",front,,,,,,,,
./images/template/card_layout_front.png,Common Hill Troll,./images/advesaries/common_hill_troll.png,5,"Hill-Trolls are probably the most common breed of this cruel race, as they prowl desolate areas from the Coldfells in the north to Gorgoroth in the south. They are wild and beastly in battle, prone to bellowing and roaring to intimidate their enemies, but can be disciplined to use simple weapons and armour.","Fierce, Irritable",front,,,,,,,,
./images/template/card_layout_front.png,Hill-Troll Chief,./images/advesaries/hill-troll_chief.png,8,"A Troll-chief is a larger, meaner and more intelligent Hill-Troll, a formidable opponent even for the most valorous (or reckless) heroes.","Fierce, Cruel",front,,,,,,,,
./images/template/card_layout_front.png,Mountain Troll,./images/advesaries/mountain_troll.png,10,"Mountain-Trolls are the largest of all Troll-races, often twelve feet or more in height. Immensely strong and dangerous, luckily they are rarely encountered, and are dull-witted and slow.","Brutish, Wicked",front,,,,,,,,
./images/template/card_layout_front.png,Ettins,./images/advesaries/ettins.png,9,"Ettins are some of the oldest of Troll-kind, barely distinguishable from huge piles of rock. They exhibit abnormal features now lost to the Stone-Trolls, like having four arms, or two heads growing side-by-side from their shoulders.","Keen-Eyed, Ancient",front,,,,,,,,
./images/template/card_layout_front.png,Marsh-Ogre,./images/advesaries/marsh-ogre.png,9,"Some of the more terrifying tales surviving in the North talk of horrible man-eating Giants who were said to prowl lonely moors and bogs in search of prey. The most dangerous among them are said to have once lived in the marshes to the east of Mirkwood. No one has seen an Ogre in recent times, and the old and wise among the Men of the Lake say that they retreated among the mists of the bogs when Smaug took residence under the Lonely Mountain - few monsters were a match for a great Dragon! But now Smaug is dead, and the Marsh-ogres could emerge once again from their stinking retreats to threaten Lake-town and its prospering inhabitants.","Slimy, Vicious",front,,,,,,,,
./images/template/card_layout_front.png,Fungal Troll,./images/advesaries/fungal_troll.png,10,"Cave-Trolls that linger too long in the depths of Nan Mordeleb can change nearly beyond recognition, their bodies becoming hosts to swarms of fungal infestations. This softens their hide, making them (somewhat) easier to damage, yet all but inures them to pain. The resulting creatures are terrible to behold and perilous to fight.","Ugly, Wild",front,,,,,,,,
./images/template/card_layout_front.png,Attercop,./images/advesaries/attercop.png,2,"Many-eyed and many-legged, Attercops are giant spiders reaching up to the size of boars. They are crafty predators who attack unwary victims, first tying them up with their spiderthread and then poisoning them. While a single Attercop does not pose a significant threat to any but a less-experienced adventurer, a roused spider-colony can be a challenge even for a veteran company of heroes.","Stealthy, Swift",front,,,,,,,,
./images/template/card_layout_front.png,Hunter Spider,./images/advesaries/hunter_spider.png,6,Spawn of Tauler the Hunter and his sister Sarqin.,"Swift, Stealthy",front,,,,,,,,
./images/template/card_layout_front.png,Great Spider,./images/advesaries/great_spider.png,8,"Great Spiders display their dreadful heritage much more prominently than the lesser Attercops. They are gigantic in size, sometimes as big as horses or greater, but their soft, flexible bodies enable them to hide in surprisingly narrow passages. While they can always be described as monstrous spider creatures, their features often differ from one individual to another: the number and appearance of their legs and eyes may vary, for instance — some are supported by long and thin stalks, others move about on strong and hairy limbs ending in claw-like appendages, some spy from the dark with clustered eyes, and others follow their prey with bulbous, many-windowed eyes. Regardless of the details, Great Spiders are always a terrifying sight.","Vicious, Fierce",front,,,,,,,,
./images/template/card_layout_front.png,Great Bat,./images/advesaries/great_bat.png,3,"Unusually large bats, whose taste for blood often leads them to follow when Orcs and Wargs go on raids or to war.","Swift, Loud",front,,,,,,,,
./images/template/card_layout_front.png,Elder Vampire,./images/advesaries/elder_vampire.png,6,The largest and most terrible of the winged vampires. These gargantuan bats are the size of a grown man with wings each as long as its body. Their clawed feet tear open the stomach of their victims and their fangs can pierce armor with ease.,"Vicious, Swift",front,,,,,,,,
./images/template/card_layout_front.png,Secret Shadow,./images/advesaries/secret_shadow.png,7,"Taking the form of great misshapen bats, these servants of Sauron fly on their great fingered wings to carry his dark tidings or to spy upon the land, or join a swarm of Great Bats when war or hunt has provided them with prey. These Vampires belong to an astute and patient breed, always aware of the will of their Master and ready to do his bidding. Ages ago they were able to disguise their foul appearance and appear as beautiful women. Today, they may appear as such only briefly, to confound their opponents.","Stealthy, Secretive",front,,,,,,,,
./images/template/card_layout_front.png,Hill-Men Of Rhudaur,./images/advesaries/hill-men_of_rhudaur.png,5,"Cruel warriors once serving the Witch-lord of Angmar, they were much reduced in numbers, but they still inhabit the land once ruled by their king. They received many gifts of sorcery, and have not forgotten their allegiance.","Grim, Bold",front,,,,,,,,
./images/template/card_layout_front.png,Hill-Men Of Gundabad,./images/advesaries/hill-men_of_gundabad.png,4,"These Hill-men are wild warriors of the Black Hills of the Vales of Gundabad. Their ancestors served the Witch-king of Angmar, and they were given to the practice of sorcery. Today they do not serve the Shadow, but should their old master summon them, most of them would readily answer. The Hill-men can leave their bodies while sleeping in the form of spirit-Wargs, to join the wild wolves in their hunts.","Wild, Fierce",front,,,,,,,,
./images/template/card_layout_front.png,Gundabad Spirit Wargs,./images/advesaries/gundabad_spirit_wargs.png,3,Spirit Warg forms of the Hill Men of Gundabad.,"Grim, Bold",front,,,,,,,,
./images/template/card_layout_front.png,Wild Men Of Mirkwood,./images/advesaries/wild_men_of_mirkwood.png,3,"These men are the descendants of Northmen who fled into the deep forests of Mirkwood and became corrupt and evil. They forgot all their lore, and now use carved wood and chipped stone instead of metal. They speak a barbaric tongue that is part a degenerate form of the Common Speech and part mimickry of the chirps and clicks of the Spiders.","Cruel, Barbaric",front,,,,,,,,
./images/template/card_layout_front.png,Dunlending Raiders,./images/advesaries/dunlending_raiders.png,4,"Sometimes, when a particularly harsh winter has passed or a provocation from the hated Forgoil rouses them, the Men of Dunland assemble war parties and descend swiftly from their hills to plunder and kill, before retreating just as quickly back into the mountain mists where few dare follow them.","Subtle, Swift",front,,,,,,,,
./images/template/card_layout_front.png,Warriors Of The Gaesela,./images/advesaries/warriors_of_the_gaesela.png,5,"Proud in their old ways, the Dunlendings of the west march of Rohan are more peaceful than their kin living in the Dunland Fells, but they are just as quick to draw blood if given a reason.","Stern, Wary",front,,,,,,,,
./images/template/card_layout_front.png,Men Of Isengard,./images/advesaries/men_of_isengard.png,3,"Many of Saruman’s most trusted servants belong to the folk of Isengard, men and women who have lived all their lives under the shadow of the Tower of Orthanc. Well-fed and trained, they are loyal and dependable.","Bold, Cunning",front,,,,,,,,
./images/template/card_layout_front.png,Wulfing Riders,./images/advesaries/wulfing_riders.png,5,"The Wulfings bear the symbols of their mixed ancestry, the old roots of their Dunlendish blood and their Northman heritage. They will draw their blade on anyone who forgets that one of their lords was once king of all Rohan…","Violent, Bold",front,,,,,,,,
./images/template/card_layout_front.png,Easterling Warrior,./images/advesaries/easterling_warrior.png,4,"The warriors of the East are fierce and tough. Adorned in bronzed and gilded mail and armed with gleaming curved blades, these foreign fighters are a strange and fearful sight.","Fierce, Tough",front,,,,,,,,
./images/template/card_layout_front.png,Easterling Captain,./images/advesaries/easterling_captain.png,6,"Captains in the armies of the East are especially cruel, establishing their authority through fear and pain. They are just as capable of inflicting that pain on their foes.","Tough, Vicious",front,,,,,,,,
./images/template/card_layout_front.png,Easterling Raider,./images/advesaries/easterling_raider.png,5,"Fast and light skirmishing units of the Easterlings are a common sight near the Iron Hills, in Dorwinion, and sometimes in the furthest reaches of Dalish lands. These raiders are fast and brutal, and are masters of both horse and bow.","Swift, Elusive",front,,,,,,,,
./images/template/card_layout_front.png,Easterling Sorcerer,./images/advesaries/easterling_sorcerer.png,5,Petty sorcery is the fare of dark cultists and secretive courtiers in the kingdoms of the East. Black temples to Morgoth are the training grounds for men and women with knowledge of evil power who use their knowledge to aid in the wars fought in Dark Lord Sauron’s name.,"Cruel, Cunning",front,,,,,,,,
./images/template/card_layout_front.png,Corrupted Dwarf,./images/advesaries/corrupted_dwarf.png,3,"The dwarves are resilient against the corruption of shadow, but they are not immune to the enemy. Many are driven to their own selfish and destructive ends.","Tough, Stubborn",front,,,,,,,,
./images/template/card_layout_front.png,Corrupted Dwarf Warrior,./images/advesaries/corrupted_dwarf_warrior.png,5,"The warriors of the dwarves are fearsome and sturdy. When they lose their minds from shadow corruption, they become a very dangerous threat.","Tough, Maniacal",front,,,,,,,,
./images/template/card_layout_front.png,Corrupted Dwarf Veteran,./images/advesaries/corrupted_dwarf_veteran.png,6,"Experienced dwarven warriors that become corrupted can best several mannish fighters simultaneously, requiring a half-dozen warriors or more to subdue.","Tough, Experienced",front,,,,,,,,
./images/template/card_layout_front.png,Bog Soldiers,./images/advesaries/bog_soldiers.png,3,"Dead soldiers of a war long past, lying in rest beneath the Ettenmoors..","Relentless, Foul",front,,,,,,,,
./images/template/card_layout_front.png,Dead Men Of Dunharrow,./images/advesaries/dead_men_of_dunharrow.png,6,"Shades of the men of the mountains, cursed to undeath after betraying their king in the war of the last alliance.","Vengeful, Cruel",front,,,,,,,,
./images/template/card_layout_front.png,Spectres,./images/advesaries/spectres.png,6,"Not all the spirits that tarry in Middle-earth are bound to the service of Sauron, yet all feel the pull of his will. Powerful and strong-willed Men or Elves who died while pursuing acts of passion and great pride are often so consumed by their obsessions that they can linger on after death, haunting places they once used to love or inhabit.","Restless, Sorrowful",front,,,,,,,,
./images/template/card_layout_front.png,Wood-Wight,./images/advesaries/wood-wight.png,8,Spirits from Dol Guldur possessing the bodies of Northmen.,"Cruel, Haunted",front,,,,,,,,
./images/template/card_layout_front.png,Grim Hawks,./images/advesaries/grim_hawks.png,3,"Grim Hawks eat fish and smaller birds, as well as the worms and other insects that they dig out of the mud with their wickedly sharp curved beaks. They also eat carrion by placing one clawed foot on the corpse and tearing the flesh with their beaks. A hungry Grim Hawk can be brave enough to attack an armed man (and a flock may surround a group of men). The River-folk hunt Grim Hawks using arrows and stones; the birds taste terrible, but their beaks and claws are prized as decorations.","Wild, Vicious",front,,,,,,,,
./images/template/card_layout_front.png,Basilisks,./images/advesaries/basilisks.png,8,"Called Sarnlug by the Elves, and Fágwyrm by the Northmen, these lizards are said to be cast-offs from the Enemy’s earliest attempts to make dragons. Most Basilisks are as large as boars, but they can grow much bigger. Their yellowish bellies drag on the ground as they waddle through the forest’s underbrush.","Large, Wild",front,,,,,,,,
./images/template/card_layout_front.png,Huorns,./images/advesaries/huorns.png,6,,"Ancient, Vengeful",front,,,,,,,,
./images/template/card_layout_back.png,,,,,,back,1,20,+2,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Broad-Bladed Sword</b></td><td>3</td><td>5</td><td>18</td><td></td></tr><tr><td><b>Broad-Headed Spear</b></td><td>2</td><td>5</td><td>16</td><td> Pierce</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Horrible Strength</td><td>If the creature scored a Piercing Blow with a close combat attack, spend 1 Hate to make the target’s Protection roll Ill-favoured</td></tr><tr><td>Hate Sunlight</td><td>The creature loses 1 Hate at the start of each round it is exposed to the full light of the sun</td></tr></table>",,5
./images/template/card_layout_back.png,,,,,,back,1,12,+1,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Bow of Horn</b></td><td>3</td><td>3</td><td>14</td><td> Pierce</td></tr><tr><td><b>Jagged Knife</b></td><td>2</td><td>2</td><td>14</td><td></td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Hate Sunlight</td><td>The creature loses 1 Hate at the start of each round it is exposed to the full light of the sun</td></tr><tr><td>Craven</td><td>When affected by the Intimidate Foe combat task, the creature also loses 1 Hate</td></tr><tr><td>Snake-Like Speed</td><td>When targeted by an attack, spend 1 Hate to make the attack roll Ill-favoured</td></tr></table>",,3
./images/template/card_layout_back.png,,,,,,back,1,20,+2,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Scimitar</b></td><td>3</td><td>3</td><td>16</td><td></td></tr><tr><td><b>Jagged Knife</b></td><td>3</td><td>2</td><td>14</td><td> Pierce</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Snake-Like Speed</td><td>When targeted by an attack, spend 1 Hate to make the attack roll Ill-favoured</td></tr><tr><td>Hate Sunlight</td><td>The creature loses 1 Hate at the start of each round it is exposed to the full light of the sun</td></tr></table>",,5
./images/template/card_layout_back.png,,,,,,back,1,12,-,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Bent Sword</b></td><td>3</td><td>5</td><td>14</td><td></td></tr><tr><td><b>Spear</b></td><td>2</td><td>4</td><td>16</td><td> Pierce</td></tr></table>,<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Hate Sunlight</td><td>The creature loses 1 Hate at the start of each round it is exposed to the full light of the sun</td></tr></table>,,3
./images/template/card_layout_back.png,,,,,,back,1,8,-,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Broad-Bladed Sword</b></td><td>3</td><td>5</td><td>14</td><td></td></tr><tr><td><b>Bow of Horn</b></td><td>2</td><td>4</td><td>14</td><td> Pierce</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Cowardly</td><td>At the start of the round, the adversary flees the battlefield if at zero Hate and is unengaged Hate Sunlight The creature loses 1 Hate at the start of each round it is exposed to the full light of the sun</td></tr></table>",,2
./images/template/card_layout_back.png,,,,,,back,1,12,-,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Bent Sword</b></td><td>3</td><td>5</td><td>14</td><td></td></tr><tr><td><b>Spear</b></td><td>2</td><td>4</td><td>16</td><td> Pierce</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Cowardly</td><td>At the start of the round, the adversary flees the battlefield if at zero Hate and is unengaged Hate Sunlight The creature loses 1 Hate at the start of each round it is exposed to the full light of the sun</td></tr></table>",,3
./images/template/card_layout_back.png,,,,,,back,1,24,+2,3,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Orc-Axe</b></td><td>3</td><td>3</td><td>18</td><td> Break Shield</td></tr><tr><td><b>Spear</b></td><td>2</td><td>4</td><td>16</td><td> Pierce</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Horrible Strength</td><td>If the creature scored a Piercing Blow with a close combat attack, spend 1 Hate to make the target’s Protection roll Ill-favoured</td></tr></table>",,6
./images/template/card_layout_back.png,,,,,,back,1,24,+2,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Broad-Bladed Sword</b></td><td>3</td><td>5</td><td>18</td><td></td></tr><tr><td><b>Bow of Horn</b></td><td>3</td><td>3</td><td>14</td><td> Pierce</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>None</td><td>Hideous Toughness: When attacks inflict damage to the creature that would cause it to go to zero Endurance, it causes a Piercing Blow instead Then, if the creature is still alive, it returns to full Endurance</td></tr></table>",,6
./images/template/card_layout_back.png,,,,,,back,1,42,+2,3,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Broad-Bladed Sword</b></td><td>4</td><td>5</td><td>18</td><td></td></tr><tr><td><b>Orc-Whip</b></td><td>3</td><td>3</td><td>10</td><td> Seize</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Yell of Triumph</td><td>Hideous Toughness: When attacks inflict damage to the creature that would cause it to go to zero Endurance, it causes a Piercing Blow instead Then, if the creature is still alive, it returns to full Endurance Spend 1 Hate to restore 1 Hate to all other Uruk-Hai in the fight</td></tr><tr><td>Savage Assault</td><td>When this creature produces at least on a successful attack roll, they may immediately make a second attack This can only occur once per round</td></tr></table>",,8
./images/template/card_layout_back.png,,,,,,back,1,12,+1,1,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Jagged Knife</b></td><td>3</td><td>2</td><td>14</td><td> Pierce</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Craven</td><td>When affected by the Intimidate Foe combat task, the creature also loses 1 Hate</td></tr></table>",,4
./images/template/card_layout_back.png,,,,,,back,1,16,+1,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Spear</b></td><td>3</td><td>4</td><td>14</td><td> Pierce</td></tr><tr><td><b>Bent Sword</b></td><td>2</td><td>5</td><td>14</td><td></td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Thing of Terror</td><td>At the start of the first round of the battle all Player-heroes in sight gain 3 Shadow points (Dread) Those who fail their Shadow test are daunted and cannot spend Hope for the rest of the fight</td></tr><tr><td>Craven</td><td>When affected by the Intimidate Foe combat task, the creature also loses 1 Hate</td></tr></table>",,4
./images/template/card_layout_back.png,,,,,,back,1,24,+1,3,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Orc-Axe</b></td><td>3</td><td>3</td><td>18</td><td> Break Shield</td></tr><tr><td><b>Bite</b></td><td>3</td><td>6</td><td>14</td><td> Pierce</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Hate Sunlight</td><td>The creature loses 1 Hate at the start of each round it is exposed to the full light of the sun</td></tr><tr><td>Denizen of the Dark</td><td>All attack rolls are Favoured while in darkness</td></tr><tr><td>Horrible Strength</td><td>If the creature scored a Piercing Blow with a close combat attack, spend 1 Hate to make the target’s Protection roll Ill-favoured</td></tr></table>",,6
./images/template/card_layout_back.png,,,,,,back,1,12,+1,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Stone Spear</b></td><td>3</td><td>4</td><td>12</td><td> Pierce</td></tr><tr><td><b>Jagged Knife</b></td><td>2</td><td>2</td><td>14</td><td> Pierce</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Mirkwood Dweller</td><td>When inside Mirkwood, this creature gains +2 Parry</td></tr><tr><td>Hate Sunlight</td><td>The creature loses 1 Hate at the start of each round it is exposed to the full light of the sun</td></tr></table>",,3
./images/template/card_layout_back.png,,,,,,back,1,26,+1,2,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Claws</b></td><td>3</td><td>5</td><td>16</td><td> Seize</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Snake-Like Speed</td><td>When targeted by an attack, spend 1 Hate to make the attack roll Ill-favoured</td></tr></table>",,4
./images/template/card_layout_back.png,,,,,,back,1,16,+1,1,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Bow of Horn</b></td><td>4</td><td>3</td><td>14</td><td> Pierce</td></tr><tr><td><b>Jagged Knife</b></td><td>2</td><td>2</td><td>14</td><td> Pierce</td></tr></table>,<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Hate Sunlight</td><td>The creature loses 1 Hate at the start of each round it is exposed to the full light of the sun</td></tr><tr><td>Denizen of the Dark</td><td>All attack rolls are Favoured while in darkness</td></tr></table>,,4
./images/template/card_layout_back.png,,,,,,back,2,45,-,3,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Club</b></td><td>2</td><td>6</td><td>16</td><td> Break Shield</td></tr><tr><td><b>Crush</b></td><td>2</td><td>4</td><td>12</td><td> Seize</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Horrible Strength</td><td>If the creature scored a Piercing Blow with a close combat attack, spend 1 Hate to make the target’s Protection roll Ill-favoured</td></tr></table>",,5
./images/template/card_layout_back.png,,,,,,back,2,70,-,4,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Club</b></td><td>3</td><td>6</td><td>16</td><td> Break Shield</td></tr><tr><td><b>Crush</b></td><td>2</td><td>6</td><td>12</td><td> Seize</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Horrible Strength</td><td>If the creature scored a Piercing Blow with a close combat attack, spend 1 Hate to make the target’s Protection roll Ill-favoured</td></tr><tr><td>Thing of Terror</td><td>At the start of the first round of the battle all Player-heroes in sight gain 3 Shadow points (Dread) Those who fail their Shadow test are daunted and cannot spend Hope for the rest of the fight</td></tr><tr><td>Thick Hide</td><td>Spend 1 Hate point to gain (2d) on a Protection roll</td></tr></table>",,8
./images/template/card_layout_back.png,,,,,,back,2,80,-,5,<table><tr><th>Name</th><th>Skill</th><th>Damage</th><th>Injury</th><th>Special Dmg</th></tr><tr><td><b>Crush</b></td><td>3</td><td>6</td><td>12</td><td> Seize</td></tr></table>,"<table><tr><th>Name</th><th>Effect</th></tr><tr><td>Horrible Strength</td><td>If the creature scored a Piercing Blow with a close combat attack, spend 1 Hate to make the target’s Protection roll Ill-favoured</td></tr><tr><td>Thing of Horror</td><td>At the start of the first round of the battle all Player-heroes in sight gain 3 Shadow points (Dread) Those who fail their Shadow test are daunted and cannot spend Hope for the rest of the fight Those who succeed will continue to gain 1 Shadow point (Dread) each round until they fail a Shadow test</td></tr><tr><td>Savage Assault</td><td>When this creature produces at least on a successful attack roll, they may immediately make a second attack This can only occur once per round</td></tr></table>",,10
